"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
7348530660542.07,7348530660545.11,3.0400390625,96,0.72801295576894,0.178035083402198
7566682751809.23,7566682751812.34,3.109375,97,0.733612975672748,0.176791876706388
7790733311335.69,7790733311338.88,3.189453125,98,0.74138549228507,0.176063042555942
8020826039276.71,8020826039279.97,3.26171875,99,0.746978888090803,0.174807984035829
8257107833416.32,8257107833419.66,3.33984375,100,0.753567091611029,0.173781554968471
8499728855759.24,8499728855762.65,3.4091796875,101,0.757843665720076,0.1722226220391
8748842600465.72,8748842600469.22,3.5009765625,102,0.766748427442974,0.171708693369684
9004605963155.43,9004605963159.01,3.578125,103,0.772063740723474,0.170381078795554
9267179311606.73,9267179311610.4,3.669921875,104,0.780168524974405,0.169662338924431
9536726557878.7,9536726557882.45,3.75,105,0.78541073254606,0.168314942742167
9813415231883.23,9813415231887.06,3.830078125,106,0.790327610079446,0.166902104933955
10097416556435.5,10097416556439.5,4,107,0.813192698730016,0.169229841573172
10388905523811.7,10388905523815.7,4,108,0.80117507264041,0.164300817061332
10688060973842.3,10688060973846.5,4.201171875,109,0.829033049785215,0.167537857203298
10995065673572.5,10995065673576.7,4.201171875,110,0.816781329837651,0.16265811378961
11310106398517.7,11310106398522,4.30078125,111,0.823790281208423,0.16166477843438
11633374015547.8,11633374015552.2,4.400390625,112,0.830413687316312,0.160591318489219
11965063567429.5,11965063567434,4.5,113,0.836661412840584,0.159443244088426
12305374359059.7,12305374359064.3,4.6015625,114,0.842900882873399,0.158292999541671
12654510045423.4,12654510045428.1,4.69921875,115,0.848068248008814,0.156944037490424
13012678721308.4,13012678721313.2,4.80078125,116,0.853593337512404,0.155666030777208
13380093012811.5,13380093012816.4,4.900390625,117,0.85842776730596,0.154267843941327
13756970170670.8,13756970170675.8,5,118,0.862932883708603,0.152819047734872
14143532165459.5,14143532165464.6,5.1015625,119,0.867449465920132,0.151381732662123
14540005784676.8,14540005784682.1,5.298828125,120,0.88767658214128,0.152655644862524
14946622731773.9,14946622731779.2,5.30078125,121,0.874880567358198,0.148263993271121
15363619727150.4,15363619727155.9,5.5,122,0.894345930308703,0.149355519045967
15791238611162,15791238611167.5,5.5,123,0.881128995378032,0.145005358297056
16229726449175.5,16229726449181.2,5.697265625,124,0.899243338389261,0.145831252121204
16679335638713.4,16679335638719.2,5.798828125,125,0.901747517669552,0.144107687292722
17140324018726.6,17140324018732.5,5.90234375,126,0.904280520517395,0.142407934088692
17612954981036.9,17612954981042.9,6.00390625,127,0.90624690531194,0.140639192648294
18097497583991.9,18097497583998,6.1015625,128,0.907376769471108,0.138763837583387
18594226668374,18594226668380.3,6.30078125,129,0.923155692245572,0.139120911715129
19103422975608.1,19103422975614.6,6.49609375,130,0.937706208609474,0.139255729348473
19625373268311.4,19625373268318,6.6015625,131,0.938847825343841,0.137394802117427
20160370453231.2,20160370453237.9,6.69921875,132,0.938656262841221,0.135366281169292
20708713706616.5,20708713706623.3,6.80078125,133,0.938804551900252,0.133416001310956
21270708602070.8,21270708602077.8,7,134,0.952025056097227,0.133324489524062
21846667240933.4,21846667240940.5,7.1015625,135,0.951564452841726,0.131319305844066
22436908385238.2,22436908385245.5,7.296875,136,0.963285805279631,0.131000920309695
23041757593299.8,23041757593307.2,7.3984375,137,0.962259530595469,0.128955605427414
23661547357977.6,23661547357985.1,7.5,138,0.961053208599259,0.126918302262964
24296617247669.1,24296617247676.8,7.69921875,139,0.97200116694845,0.126494727831868
24947314050085.8,24947314050093.7,7.8984375,140,0.982415647364502,0.12598815823422
25613991918864.3,25613991918872.4,8.1015625,141,0.992788709726983,0.12546428134106
26297012523068,26297012523076.2,8.203125,142,0.990378788009493,0.12333701155135
26996745199634.2,26996745199642.6,8.3984375,143,0.998974616101529,0.122595735014056
27713567108825,27713567108833.5,8.5,144,0.996113536321195,0.120464357367616
28447863392737.2,28447863392745.9,8.703125,145,1.00484504442717,0.119750583691038
29200027336932.5,29200027336941.3,8.80078125,146,1.00110368047263,0.117567266151848
29970460535246.2,29970460535255.3,9.1015625,147,1.02001778712181,0.118044001798597
30759573057837.3,30759573057846.5,9.19921875,148,1.01572628963482,0.115835503244175
31567783622539.9,31567783622549.3,9.40234375,149,1.02281203566503,0.114944883354454
32395519769581.9,32395519769591.5,9.59765625,150,1.0286292122643,0.113915149746045
33243218039733.7,33243218039743.5,9.8046875,151,1.03528846816812,0.11298292805678
34111324155954,34111324155963.9,9.8984375,152,1.02974151800208,0.110741012530801
35000293208598.8,35000293208608.9,10.10546875,153,1.03574298197573,0.109764292770623
35910589844263.3,35910589844273.6,10.3046875,154,1.04055327278757,0.108668136923942
36842688458324.9,36842688458335.4,10.5078125,155,1.0453838009085,0.107582711352894
